Index,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
702,245.8899993896,273.4769897461,236.550994873,251.6970062256,754958016,23443013085.5,2017-07-08T23:59:59.999Z,Ethereum,7/8/2017
703,251.8220062256,255.1049957275,242.1369934082,242.1369934082,505118016,22559120946.3,2017-07-09T23:59:59.999Z,Ethereum,7/9/2017
704,243.0110015869,243.0709991455,196.9649963379,215.3569946289,937219008,20069373698.1,2017-07-10T23:59:59.999Z,Ethereum,7/10/2017
705,211.5249938965,220.2910003662,183.391998291,197.404006958,1440950016,18401040700.6,2017-07-11T23:59:59.999Z,Ethereum,7/11/2017
706,197.1519927979,230.7740020752,189.5890045166,230.7740020752,1241190016,21517152173.6,2017-07-12T23:59:59.999Z,Ethereum,7/12/2017
707,231.81199646,231.81199646,200.0650024414,209.733001709,828489024,19560300930.2,2017-07-13T23:59:59.999Z,Ethereum,7/13/2017
708,209.529006958,211.1009979248,187.3739929199,199.6620025635,749382016,18625794688.3,2017-07-14T23:59:59.999Z,Ethereum,7/14/2017
709,199.7089996338,200.1609954834,170.6549987793,170.6549987793,810451968,15923953592.6,2017-07-15T23:59:59.999Z,Ethereum,7/15/2017
710,169.574005127,172.0140075684,133.7230072021,157.3630065918,1516889984,14687441604.6,2017-07-16T23:59:59.999Z,Ethereum,7/16/2017
711,159.9909973145,194.7530059814,158.0440063477,193.4239959717,1669500032,18057735704.2,2017-07-17T23:59:59.999Z,Ethereum,7/17/2017
712,195.0269927979,267.9859924316,182.0590057373,234.3910064697,2709260032,21887962775.7,2017-07-18T23:59:59.999Z,Ethereum,7/18/2017
713,234.9409942627,245.6510009766,191.7449951172,199.7030029297,2328790016,18653610728.8,2017-07-19T23:59:59.999Z,Ethereum,7/19/2017
714,205.4219970703,233.904006958,203.216003418,227.2649993896,2224999936,21233651866.3,2017-07-20T23:59:59.999Z,Ethereum,7/20/2017
715,226.0610046387,235.1179962158,213.0099945068,218.3049926758,1006129984,20401709506.4,2017-07-21T23:59:59.999Z,Ethereum,7/21/2017
716,217.8600006104,232.6959991455,216.8679962158,229.4759979248,618259968,21451273566.4,2017-07-22T23:59:59.999Z,Ethereum,7/22/2017
717,229.1230010986,231.6799926758,217.7220001221,225.9510040283,649614976,21127295408.6,2017-07-23T23:59:59.999Z,Ethereum,7/23/2017
718,226.2850036621,227.5379943848,222.4530029297,224.7109985352,431691008,21016755176.6,2017-07-24T23:59:59.999Z,Ethereum,7/24/2017
719,224.3730010986,225.324005127,195.8450012207,206.7100067139,1095760000,19338262506.3,2017-07-25T23:59:59.999Z,Ethereum,7/25/2017
720,207.0859985352,210.766998291,194.783996582,203.9530029297,717692032,19085332800,2017-07-26T23:59:59.999Z,Ethereum,7/26/2017
721,204.8560028076,206.4440002441,201.2599945068,204.3179931641,393283008,19124468250.3,2017-07-27T23:59:59.999Z,Ethereum,7/27/2017
722,204.3249969482,204.8970031738,192.3040008545,193.1230010986,562571008,18081289102.8,2017-07-28T23:59:59.999Z,Ethereum,7/28/2017
723,193.341003418,208.6790008545,179.6470031738,205.7890014648,824355008,19272280500.2,2017-07-29T23:59:59.999Z,Ethereum,7/29/2017
724,206.7359924316,208.5410003662,196.1490020752,197.9779968262,596233984,18545669553.6,2017-07-30T23:59:59.999Z,Ethereum,7/30/2017
725,197.4049987793,203.8710021973,193.4109954834,203.8710021973,569414016,19102596754.5,2017-07-31T23:59:59.999Z,Ethereum,7/31/2017
726,204.68800354,227.7440032959,204.68800354,226.7689971924,1585330048,21252988046.8,2017-08-01T23:59:59.999Z,Ethereum,8/1/2017
727,227.0059967041,229.5119934082,218.1179962158,219.9519958496,632606016,20618746851.8,2017-08-02T23:59:59.999Z,Ethereum,8/2/2017
728,220.1799926758,228.2920074463,219.8880004883,225.3419952393,557217024,21128736917.8,2017-08-03T23:59:59.999Z,Ethereum,8/3/2017
729,225.3079986572,227.6210021973,222.0570068359,223.0729980469,539782976,20920682038,2017-08-04T23:59:59.999Z,Ethereum,8/4/2017
730,222.8520050049,256.5069885254,221.9519958496,256.5069885254,1332999936,24061766193.9,2017-08-05T23:59:59.999Z,Ethereum,8/5/2017
731,256.4190063477,271.0490112305,252.8520050049,261.566986084,1482979968,24541904158.6,2017-08-06T23:59:59.999Z,Ethereum,8/6/2017
732,261.2369995117,271.9630126953,256.6889953613,269.1799926758,935726976,25262099071.4,2017-08-07T23:59:59.999Z,Ethereum,8/7/2017
733,269.1000061035,298.9070129395,266.7959899902,296.7690124512,1502409984,27857712298.9,2017-08-08T23:59:59.999Z,Ethereum,8/8/2017
